;PC Software:StarLab Version 2.11 Build 2
;Logged:21/10/2022 at 13:34:39
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Juno Photodiode PD300-1W (s/n:584133)  JN1.53 (s/n:3041014)
;Channel B:Nova II Photodiode PD300-1W (s/n:533500)  NN2.37 (s/n:517373)

;Channel A:Details
;Name:PD300-1W
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel B:Details
;Name:PD300-1W
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT
;--------------------


;First Pulse Arrived : 21/10/2022 at 13:34:39.238000
  Timestamp   	  Channel A  	  Channel B  	
       172.447	             	  1.548e-005 	
       172.526	  2.840e-004 	             	
       173.503	             	  1.560e-005 	
       173.526	  2.840e-004 	             	
       174.526	  2.830e-004 	             	
       174.559	             	  1.568e-005 	
       175.526	  2.840e-004 	             	
       175.583	             	  1.580e-005 	
       176.526	  2.820e-004 	             	
       176.639	             	  1.589e-005 	
       177.526	  2.820e-004 	             	
       177.695	             	  1.593e-005 	
       178.526	  2.810e-004 	             	
       178.719	             	  1.597e-005 	
       179.526	  2.810e-004 	             	
       179.775	             	  1.608e-005 	
       180.526	  2.810e-004 	             	
       180.831	             	  1.615e-005 	
       181.526	  2.810e-004 	             	
       181.919	             	  1.625e-005 	
       182.527	  2.800e-004 	             	
       182.976	             	  1.632e-005 	
       183.527	  2.800e-004 	             	
       184.032	             	  1.633e-005 	
       184.527	  2.790e-004 	             	
       185.088	             	  1.642e-005 	
       185.527	  2.780e-004 	             	
       186.111	             	  1.647e-005 	
       186.594	  2.790e-004 	             	
       187.167	             	  1.650e-005 	
       187.659	  2.790e-004 	             	
       188.223	             	  1.640e-005 	
       188.659	  2.780e-004 	             	
       189.247	             	  1.658e-005 	
       189.659	  2.770e-004 	             	
       190.303	             	  1.662e-005 	
